Symbol,Token,Strike,Close Price
FINNIFTY30JUL24P20250,42486,20250,0.05
FINNIFTY30JUL24P20300,43072,20300,0.05
FINNIFTY30JUL24P20350,42488,20350,0.05
FINNIFTY30JUL24P20400,43083,20400,0.05
FINNIFTY30JUL24P20450,42490,20450,0.05
FINNIFTY30JUL24P20500,43085,20500,0.05
FINNIFTY30JUL24P20550,42492,20550,0.05
FINNIFTY30JUL24P20600,43090,20600,0.05
FINNIFTY30JUL24P20650,42494,20650,0.05
FINNIFTY30JUL24P20700,43092,20700,0.05
FINNIFTY30JUL24P20750,42496,20750,0.05
FINNIFTY30JUL24P20800,43097,20800,0.05
FINNIFTY30JUL24P20850,42498,20850,0.05
FINNIFTY30JUL24P20900,43099,20900,1.3
FINNIFTY30JUL24P20950,42503,20950,0.05
FINNIFTY30JUL24P21000,43106,21000,1.45
FINNIFTY30JUL24P21050,42506,21050,0.05
FINNIFTY30JUL24P21100,43108,21100,1.7
FINNIFTY30JUL24P21150,42508,21150,0.05
FINNIFTY30JUL24P21200,43110,21200,1.85
FINNIFTY30JUL24P21250,42510,21250,0.1
FINNIFTY30JUL24P21300,43117,21300,2.05
FINNIFTY30JUL24P21350,42512,21350,0.2
FINNIFTY30JUL24P21400,43125,21400,2.15
FINNIFTY30JUL24P21450,42522,21450,0.35
FINNIFTY30JUL24P21500,43127,21500,2.6
FINNIFTY30JUL24P21550,42526,21550,0.65
FINNIFTY30JUL24P21600,43131,21600,2.7
FINNIFTY30JUL24P21650,42542,21650,1.05
FINNIFTY30JUL24P21700,43133,21700,2.55
FINNIFTY30JUL24P21750,42547,21750,1.8
FINNIFTY30JUL24P21800,43135,21800,3.25
FINNIFTY30JUL24P21850,42551,21850,2.95
FINNIFTY30JUL24P21900,43137,21900,4.15
FINNIFTY30JUL24P21950,42554,21950,4.7
FINNIFTY30JUL24P22000,43139,22000,5.3
FINNIFTY30JUL24P22050,42988,22050,5.95
FINNIFTY30JUL24P22100,43141,22100,6.8
FINNIFTY30JUL24P22150,42991,22150,7.75
FINNIFTY30JUL24P22200,43143,22200,8.8
FINNIFTY30JUL24P22250,43286,22250,10.15
FINNIFTY30JUL24P22300,43145,22300,11.85
FINNIFTY30JUL24P22350,43607,22350,13.5
FINNIFTY30JUL24P22400,43147,22400,15.4
FINNIFTY30JUL24P22450,44235,22450,18.0
FINNIFTY30JUL24P22500,43149,22500,21.35
FINNIFTY30JUL24P22550,45675,22550,25.0
FINNIFTY30JUL24P22600,43151,22600,29.25
FINNIFTY30JUL24P22650,45677,22650,34.6
FINNIFTY30JUL24P22700,43155,22700,39.95
FINNIFTY30JUL24P22750,45683,22750,46.1
FINNIFTY30JUL24P22800,43169,22800,53.25
